,timestamp,x,y
0,1688568610.602068,1818.5454545454545,133.07142857142858
1,1688568610.696982,1731.409090909091,241.7946428571429
2,1688568610.7154217,1655.7102272727273,332.58816964285717
3,1688568610.7338002,1590.0191761363637,407.69321986607144
4,1688568610.7531357,1534.175870028409,469.0708530970982
5,1688568610.7715864,1486.9493408203125,517.4727107456753
6,1688568610.7887874,1444.535218672319,562.7171933310373
7,1688568610.808269,1406.87740724737,606.6454013075147
8,1688568610.8305564,1371.7450040687215,648.9397261440754
9,1688568610.8629606,1338.2768785601313,690.7686889474945
10,1688568610.894928,1308.992268740115,731.2261742576292
11,1688568610.931964,1281.1864169657824,770.001473903997
12,1688568610.966966,1255.2199330268777,806.8227182374259
13,1688568610.99949,1230.317441398518,840.9698784577477
14,1688568611.032889,1208.5277612237032,870.8486436505292
15,1688568611.0628362,1187.2799728889222,896.9925631942131
16,1688568611.0941637,1173.0517944596252,918.9042070806507
17,1688568611.1297894,1163.3294110612628,929.8804669098552
18,1688568611.1625488,1155.3677801331505,936.5918371175518
19,1688568611.203382,1149.4922621619612,936.1964289064292
20,1688568611.243306,1149.2602748462614,931.5111610074113
21,1688568611.2819505,1149.602740490479,923.5544087386277
22,1688568611.3195484,1147.7205797473507,917.074393360585
23,1688568611.3568788,1149.346416369841,913.332951333369
24,1688568611.3941488,1149.1326597781565,921.1484752738407
25,1688568611.4281306,1146.7638045786143,933.7727730074678
26,1688568611.4655514,1146.3274199153784,952.0511763815343
27,1688568611.5030086,1142.1274015168651,968.0447793338426
28,1688568611.5380127,1138.9978399636207,982.0391819171123
29,1688568611.5720758,1136.8049281499862,994.2842841774732
30,1688568611.610581,1134.8861303130561,1002.1058915124319
31,1688568611.644684,1132.6617276602879,1004.1283693590922
32,1688568611.669013,1132.351738975479,1000.1123231892057
33,1688568611.6899984,1130.9895897853623,995.1518542191263
34,1688568611.7130098,1128.706800153101,988.4007295845927
35,1688568611.7465098,1126.163904679418,985.3863526722329
36,1688568611.782939,1121.2115984126726,988.0523443024895
